ICICI Bank| Credit Card|"""Good"""|                                 ICICI credit card is also good and it was taken 1.5 to 2 years back. I am not used very much but the benefits are good for the customer. I think, its a life time free card. They have given me a limit of 4L. I have used the card for shopping and child educational fee. The payment mode is more convenient.|S R G|                                     , hyderabad|                                     Reviewed on Aug 28, 2019
ICICI Bank| Credit Card|"""Good"""|"                                 I am holding ICICI bank credit card where could not able to touch with the customer they donn't have toll free number, credit limit of the card is nominal, rate of interest is higher compare to other bank credit card and using from past 2 years but their is no much offer.
 "|NITAL|                                     , bangalore|                                     Reviewed on Aug 28, 2019
ICICI Bank| Credit Card|"""Excellent"""|                                 I am being using ICICI bank credit card where the cash back offers are good and online E commerce website has good discount offers and the rate of interest on EMI is nominal, customer care service is available 24/7 days and card got approved very fast.|AMBUJ  KUMAR|                                     , new delhi|                                     Reviewed on Aug 28, 2019
ICICI Bank| Other Loan|"""Good Salary Account"""|                                 From the year of 2007, i have been holding the salary account from ICICI. Their Internet banking facility is very good. I have visited the branch in past and the response is good. They are not deducting any hidden charges so far. I do all my transaction through online. |ANONYMS|                                     , mumbai|                                     Reviewed on Aug 27, 2019
ICICI Bank| Car Loan|"""Good bank to have a car loan"""|                                 As on date, their customer care service is not required since my payments are on time. They have not called me regards to anything. ICICI option given from the car dealer hence i have taken the same. Confirmation has come within 2 days and the dealer has done everything from my side. | BISHA |                                     , mumbai|                                     Reviewed on Aug 27, 2019
ICICI Bank| Personal Loan|"""Affordable interest for personal loan"""|                                 I closed one personal loan from ICICI, that overall experience was good. I took the loan amount of Rs. 50,000 for the duration of one year, I just paid Rs.5000 extra to the bank for the whole tenure I would say its very affordable.  Hence I am very fine with them.|  KUMAR|                                     , hyderabad|                                     Reviewed on Aug 27, 2019
ICICI Bank| Credit Card|"""Need to improve the customer care"""|                                 I tried to contact the customer care but its not getting  connected this is a worst part. Till now i have not paid any interest rate but i will not recommend. My card was misplaced and i had a fraud transaction, when i called them, they said they can't reversed. The app in ICICI is not that much good. I have not connected with the ICICI customer care till now even it takes long time. | KUNDER|                                     , mumbai|                                     Reviewed on Aug 27, 2019
ICICI Bank| Credit Card|"""Very Good card"""|                                 I am having a salary account in ICICI. Earlier i had a card with ICICI and i handed over the same again i bought the card recently. ICICI customer care service is a easily approachable one. I have a good experience with them. 6 month before, i got the new card. Benefits are similar like other cards and nothing is special. |VADIVELU |                                     , chennai|                                     Reviewed on Aug 27, 2019
ICICI Bank| Saving Account|"""Very Good bank"""|                                 ICICI is providing a good service and i get the quick response. If i open a savings account, i need to do a Rs. 3 lakhs transaction in a month and need to maintain a balance of Rs. 10000. Even if i visit their branch also the response will be good but they have given me a free savings account which no need to maintain a balance. They are charging me only debit card charges. |  HARIPRASAD|                                     , bangalore|                                     Reviewed on Aug 27, 2019
ICICI Bank| Saving Account|"""Excellent service"""|                                 My salary  and savings account was taken with ICICI bank from past eight years ,my experience was good so far and i did not face any issues with this bank so far,and customer service is good with ICICI bank and they give instant response . net banking facility is good in ICICI bank and there are no hidden charges.|SAHOO|                                     , delhi|                                     Reviewed on Jul 11, 2019
ICICI Bank| Credit Card|"""Shopping Card"""|                                 Recently I got the ICICI credit card but the limit is very less. I believe based on the card transaction they may increase the limit in the future. I am using chargeable card, they provide rewards and cash back at online shopping and other spends.| BABU |                                     , hyderabad|                                     Reviewed on Jul 11, 2019
ICICI Bank| Saving Account|"""Good"""|                                 I am holding a saving account with ICICI Bank. It is zero balance account. ICICI bank netbanking and mobile application is very easy and simple. Their Customer service is excellent and bank employees are approachable and helpful. There is no hidden charges.|B|                                     , chennai|                                     Reviewed on Jul 11, 2019
ICICI Bank| Credit Card|"""Good. Can do better"""|                                 I bank with ICICI Bank for the credit card and the banking experience is good. The customer services and response is good as well. There are annual charges for the card. The statements are sent to me on time. They can improve on the credit limit.|DESHMUKH R|                                     , pune|                                     Reviewed on Jul 11, 2019
ICICI Bank| Saving Account|"""Experience is satisfactory"""|                                 I hold a savings account with ICICI Bank and the banking process is good. The online  banking is also good and there are no hassles in completing my transactions. The services at the branch is also good and it is supportive. Till date it is a good experience.|R D|                                     , pune|                                     Reviewed on Jul 11, 2019
ICICI Bank| Credit Card|"""GOOD"""|                                 I am having the credit card with the ICICI BANK where the card has the good credit limit also it is a offers available with the card which is 10% available as cash backs for the purchases through the online. There are good offers available with the card.|D |                                     , kochi|                                     Reviewed on Jul 10, 2019
ICICI Bank| Credit Card|"""Good card"""|                                 I have been holding ICICI bank credit card from long time, they have not charged me annual fee as it is life time free credit card, the credit limit which they have given to me was good, i am happy with the credit limit, they use to give good offers in shoppings.|P|                                     , gurgaon|                                     Reviewed on Jul 10, 2019
ICICI Bank| Credit Card|"""Very good card according to the fee"""|"                                 There is no much offers available on ICICI card but their customer care service is very nice. There is some annual fee and its never be a problem of paying the fee and its a benefits what we are getting for that. I have a card in which have a annual fee of Rs. 500 for that they give a facility of airport launch access. I have been using the card for almost a year. 
 "|  RAM |                                     , new delhi|                                     Reviewed on Jul 10, 2019
